,uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,entities,similar
0,d957f2e6-8b19-4b5f-a0ec-c227df834b95,"Apple's chip boss squashes exit rumors, says he's not leaving the company",Bloomberg reported on Saturday that Srouji had told CEO Tim Cook that he was considering leaving.,"Breaking News: Technology, Apple Inc, business news","Johny Srouji, senior vice president of hardware technologies at Apple Inc., speaks during the Peek Performance virtual event in New York, U.S., on Tuesday, Marc...",https://www.cnbc.com/2025/12/08/apple-chips-johny-srouji.html,https://image.cnbcfm.com/api/v1/image/108238391-1765211516315-gettyimages-1239032037-APPLE_PEEK_PERFORMANCE.jpeg?v=1765211545&w=1920&h=1080,en,2025-12-08T16:45:06.000000Z,cnbc.com,,"[{'symbol': 'AAPL', 'name': 'Apple Inc.', 'exchange': None, 'exchange_long': None, 'country': 'us', 'type': 'equity', 'industry': 'Technology', 'match_score': 18.78091, 'sentiment_score': 0.42955, 'highlights': [{'highlight': 'Johny Srouji, senior vice president of h[+318 characters]', 'sentiment': 0, 'highlighted_in': 'main_text'}, {'highlight': '""I love my team, and I love my job at <e[+247 characters]', 'sentiment': 0.8591, 'highlighted_in': 'main_text'}]}]",[]
1,9a236513-ae88-4bdb-be78-2e472078c0c1,Tata signs its first major chip customer in Intel,"The deal comes amid a tumultuous phase for Intel’s chief Lip-Bu Tan, who, earlier this year, faced demands from US President Donald Trump to resign","Tata Electronics Intel deal, Intel chip manufacturing India, Tata Intel semiconductor partnership, Tata Electronics OSAT facility, semiconductor assembly India, Dholera Fab plant, Jagiroad Assam chip plant, AI chips in laptops India, Intel AI PC solutions, Electronics Manufacturing Services India, Tata","New Delhi: Tata Electronics on Monday said it will manufacture and assemble chips for Intel Corp from its two facilities in Gujarat and Assam.

It will also ass...",https://www.livemint.com/companies/news/tata-electronics-intel-deal-chips-semiconductor-osat-assam-dholera-fab-11765203820415.html,https://www.livemint.com/lm-img/img/2025/12/08/1600x900/logo/Intel_US_chip_company_news_business_India_17557019_1765205604454_1765205604591.JPG,en,2025-12-08T15:25:06.000000Z,livemint.com,,"[{'symbol': 'AAPL', 'name': 'Apple Inc.', 'exchange': None, 'exchange_long': None, 'country': 'us', 'type': 'equity', 'industry': 'Technology', 'match_score': 8.682263, 'sentiment_score': -0.25, 'highlights': [{'highlight': 'Tata, notably, works as an electronics m[+285 characters]', 'sentiment': -0.25, 'highlighted_in': 'main_text'}]}]",[]
2,ea7ab0b9-76e0-4d72-88cc-38f499679143,"3 Vanguard ETFs to Buy With $1,000 and Hold Forever","Vanguard's lineup of ultra-cheap, broadly diversified ETFs is ideal for long-term wealth creation.","Vanguard ETFs, Stock Market, The Vanguard Growth ETF, Bond Market","Key Points

The Vanguard Total Stock Market ETF provides coverage of the entire U.S. stock market, not just the S&P 500.

The Vanguard Growth ETF invests in som...",https://finance.yahoo.com/news/3-vanguard-etfs-buy-1-152000866.html,https://s.yimg.com/ny/api/res/1.2/B7RQ7FLNSNmiY6kmNBioQw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/8bf383e8ab0c7e88b13c6368cc1b8d21,en,2025-12-08T15:20:00.000000Z,finance.yahoo.com,,"[{'symbol': 'AAPL', 'name': 'Apple Inc.', 'exchange': None, 'exchange_long': None, 'country': 'us', 'type': 'equity', 'industry': 'Technology', 'match_score': 9.351902, 'sentiment_score': 0.9381, 'highlights': [{'highlight': 'Because the portfolio is market-cap-weig[+297 characters]', 'sentiment': 0.9381, 'highlighted_in': 'main_text'}]}]",[]
